Mods count: 352
 
                                     jar name                                      |     notes     |                 mod id                 |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
AttributeFix-Forge-1.20.1-21.0.5.jar                                               |               | attributefix                           | AttributeFix                              | 21.0.5                       | attributefix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 76d6b2d0f2a3c9842587ad20666ba419cd8c1efa | 3762486546     
azurelib-neo-1.20.1-3.0.27.jar                                                     |               | azurelib                               | AzureLib                                  | 3.0.27                       | azurelib.forge.mixins.json, azurelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             | 73704059b2587cb940c14f96daecc855917537a6 | 1534041846     
Baby-Moon-Restored-1.20.1-2.0.1.jar                                                |               | babyzombiemoon                         | BabyZombieMoon                            | 1.0-SNAPSHOT                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | b12c1c069606f465b7caf386ee4cce83d0ffa0a2 | 3951465064     
BadOptimizations-2.4.1-1.20.1.jar                                                  |               | badoptimizations                       | BadOptimizations                          | 2.4.1                        | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                      | 304007dcb0fb15ed1a1bc3771736470dafc5be0f | 3405088325     
baguettelib-1.20.1-Forge-1.1.6.jar                                                 |               | baguettelib                            | BaguetteLib                               | 1.1.6                        | baguettelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 8d3c9551bbed4c2f2e8cb2b9a10d31bad4edb52d | 2947245849     
balm-forge-1.20.1-7.3.38-all.jar                                                   |               | balm                                   | Balm                                      | 7.3.38                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 515905f87268f1eb5af2a9878a84914517efe552 | 3717034118     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                             |               | kuma_api                               | KumaAPI                                   | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
bc_particle-0.0.6-forge-1.20.1.jar                                                 |               | bc_particle                            | Better Combat Particle                    | 0.0.6-forge-1.20.1           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 3d309df955df5e936524dce787bb833aead4e415 | 1940083731     
BCLib-20.0.9.jar                                                                   |               | bclib                                  | BCLib                                     | 20.0.9                       | together.mixins.client.json, together.mixins.common.json, bclib.mixins.client.json, bclib.mixins.common.json, ui.mixins.client.json                                                                                                                                                                                                                                                                                                                                                          | 8209e5a586df760f6076d755b446aef7cf26e8ab | 3034049673     
better_climbing-forge-3.jar                                                        |               | better_climbing                        | Better Climbing                           | 3                            | better_climbing.xplat_mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 74558f3499d9e5e1f4e29e0163781c594df52eb8 | 309488169      
